customercode,routecode,routename,supervisorname,customername,regionmstname,Sales Apr2026,Sales Mar2026,Sales Feb2026,Sales Jan2026,Sales Dec,Sales Nov,Sales Oct,Sales Sep,Sales Aug,Sales Jul,Sales Jun,Sales May,Sales Apr,Sales Mar,Sales Feb,Sales jan,Last Transaction MonthYear,Months Bucket,Customer Status,Remarks,Updated By,Updated Date
5202488,52012,AUH BQ 2,Aaqib Zaheer,BEST WAY BAQALA -BRANCH 1,ABUDHABI,0,0.0,226.8,347.86,198.04,325.06,472.25999999999993,344.18999999999994,327.24,256.69,136,488,379,338.79999999999995,298.74,596,Feb 2026,1–3 Months,,,,
5202495,52001,AUH BQ 6,Aaqib Zaheer,SAEED DHABIAN,ABUDHABI,0,45.0,0.0,59.6,175.1,52.6,42.86,218.0,687.5999999999999,212.4,278,1026,924,722.24,600.4000000000001,339,Mar 2026,1 Month,,,,
5202524,52001,AUH BQ 6,Aaqib Zaheer,Gayathi Flower Grocery,ABUDHABI,0,0.0,0.0,147.2,80.8,25.75,46.21,2.58,140.58,59.510000000000005,60,32,35,0.0,24.86,60,Jan 2026,1–3 Months,,,,
5202640,52015,ALN PM 1,NASEEM,AL MASHRIQ SUPER MARKET,ALAIN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.49,2330,1850,1589,3303.6000000000004,1863.02,1703,Jul 2025,7–12 Months,,,,
5202644,52002,ALN BQ 1,NASEEM,QIMAT ALTAMAYZ BAQALA LLC,ALAIN,0,0.0,0.0,0.0,170.56,298.4,0.0,111.6,86.0,0.0,97,167,0,232.0,87.60000000000001,159,Dec 2025,4–6 Months,,,,
5202649,52021,ALN BQ 4,NASEEM,GRAND BAKE SWEETS AND PASTRIES -SOLE PROPRIETORSHI,ALAIN,0,0.0,405.75,405.75,0.0,487.5,0.0,216.0,595.5,0.0,0,216,0,595.5,405.75,0,Feb 2026,1–3 Months,,,,
5202666,52002,ALN BQ 1,NASEEM,MUBARAK SALEM GROCERY,ALAIN,0,167.34,0.0,0.0,164.34,40.0,1981.88,1091.92,4924.31,978.38,959,1132,1253,2230.29,4166.34,0,Mar 2026,1 Month,,,,
5202674,52002,ALN BQ 1,NASEEM,Al Shabaniya Baqala,ALAIN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2.4,0.0,0,Apr 2025,7–12 Months,,,,
5202715,52012,AUH BQ 2,Aaqib Zaheer,NATIONAL STORES,ABUDHABI,0,106.8,0.0,0.0,0.0,300.8,99.5,1055.35,181.40000000000003,396.0,138,82,0,6586.400000000001,4203.0,6370,Mar 2026,1 Month,,,,
5202756,52010,AUH BQ 8,Aaqib Zaheer,SIDDIQ GIFTS HYPERMARKET LLC,ABUDHABI,0,0.0,2789.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Feb 2026,1–3 Months,,,,
